child_name,status,parent_name,author1init,author1last,author2init,author2last,otherauthors,pubyr
"Mayachernes maatiatus","belongs to",Byrsochernes,"M. L. I.",Judson,,,,2016
Paraliochthonius,"belongs to",Tyrannochthoniini,"M. L. I.",Judson,,,,2016
"Paraliochthonius miomaya","belongs to",Paraliochthonius,"M. L. I.",Judson,,,,2016
Cheliferini,"belongs to",Cheliferinae,"M. L. I.",Judson,,,,2016
Cheliferinae,"belongs to",Cheliferidae,"M. L. I.",Judson,,,,2016
Byrsochernes,"belongs to",Chernetidae,"M. L. I.",Judson,,,,2016
Lustrochernes,"belongs to",Chernetidae,"M. L. I.",Judson,,,,2016
Protofeaella,"belongs to",Feaellidae,H.,Henderickx,,,,2016
Feaellidae,"belongs to",Feaelloidea,H.,Henderickx,,,,2016
"Protofeaella peetersae","belongs to",Protofeaella,H.,Henderickx,,,,2016
Chthoniidae,"belongs to",Chthonioidea,"M. S.",Harvey,"J. G.",Cosgrove,"D. Harms, P. A. Selden, C. K. Shih, C. C. Wang",2018
Philomaorini,"belongs to",Cheliferidae,"A. R.",Schmidt,U.,Kaulfuss,"J. M. Bannister, V. Baranov, C. Beimforde, N. Bleile, A. Borkent, A. Busch, J. G. Conran, M. S. Engel, M. Harvey, E. M. Kennedy, P. H. Kerr, E. Kettunen, A. P. Kiecksee, F. Lengeling, J. K. Lindqvist, M. Maraun, D. C. Mildenhall, V. Perrichot, J. Rikkinen",2018
Philomaoria,"belongs to",Philomaorini,"A. R.",Schmidt,U.,Kaulfuss,"J. M. Bannister, V. Baranov, C. Beimforde, N. Bleile, A. Borkent, A. Busch, J. G. Conran, M. S. Engel, M. Harvey, E. M. Kennedy, P. H. Kerr, E. Kettunen, A. P. Kiecksee, F. Lengeling, J. K. Lindqvist, M. Maraun, D. C. Mildenhall, V. Perrichot, J. Rikkinen",2018
Weygoldtiella,"belongs to",Chthoniinae,"M. S.",Harvey,"J. G.",Cosgrove,"D. Harms, P. A. Selden, C. K. Shih, C. C. Wang",2018
Chthoniinae,"belongs to",Chthoniidae,"M. S.",Harvey,"J. G.",Cosgrove,"D. Harms, P. A. Selden, C. K. Shih, C. C. Wang",2018
"Weygoldtiella plausus","belongs to",Weygoldtiella,"M. S.",Harvey,"J. G.",Cosgrove,"D. Harms, P. A. Selden, C. K. Shih, C. C. Wang",2018
Heterosphyronida,"subjective synonym of",Pseudoscorpiones,"M. E.",Clapham,,,,2020
